Título,Autor,Avaliação do Usuário,Avaliações,Preço,Ano,Gênero,Preço_convertido
Going Rogue: An American Life,Sarah Palin,4.6,1636,6.0,2009,Não Ficção,$ 6.00
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4.0,2009,Ficção,$ 4.00
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11.0,2009,Não Ficção,$ 11.00
"I, Alex Cross",James Patterson,4.6,1320,7.0,2009,Ficção,$ 7.00
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,14.0,2010,Não Ficção,$ 14.00
JOURNEY TO THE ICE P,RH Disney,4.6,978,0.0,2014,Ficção,$ 0.00
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,9.0,2009,Não Ficção,$ 9.00
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5.0,2009,Não Ficção,$ 5.00
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2.0,2010,Não Ficção,$ 2.00
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17.0,2013,Não Ficção,$ 17.00
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6.0,2009,Não Ficção,$ 6.00
The Silent Patient,Alex Michaelides,4.5,27536,14.0,2019,Ficção,$ 14.00
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8.0,2010,Ficção,$ 8.00
Little Fires Everywhere,Celeste Ng,4.5,25706,12.0,2018,Ficção,$ 12.00
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18.0,2013,Ficção,$ 18.00
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11.0,2015,Não Ficção,$ 11.00
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11.0,2012,Ficção,$ 11.00
Divergent / Insurgent,Veronica Roth,4.5,17684,6.0,2014,Ficção,$ 6.00
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32.0,2012,Ficção,$ 32.00
The Guardians: A Novel,John Grisham,4.5,13609,14.0,2019,Ficção,$ 14.00
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12.0,2013,Não Ficção,$ 12.00
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15.0,2012,Ficção,$ 15.00
The Maze Runner (Book 1),James Dashner,4.5,10101,8.0,2014,Ficção,$ 8.00
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12.0,2011,Ficção,$ 12.00
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46.0,2009,Não Ficção,$ 46.00
Looking for Alaska,John Green,4.5,8491,7.0,2014,Ficção,$ 7.00
Thirteen Reasons Why,Jay Asher,4.5,7932,9.0,2017,Ficção,$ 9.00
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105.0,2013,Não Ficção,$ 105.00
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9.0,2011,Não Ficção,$ 9.00
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13.0,2013,Não Ficção,$ 13.00
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5.0,2018,Ficção,$ 5.00
Joyland (Hard Case Crime),Stephen King,4.5,4748,12.0,2013,Ficção,$ 12.00
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4.0,2013,Não Ficção,$ 4.00
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,18.0,2018,Não Ficção,$ 18.00
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14.0,2009,Não Ficção,$ 14.00
Leonardo da Vinci,Walter Isaacson,4.5,3014,21.0,2017,Não Ficção,$ 21.00
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28.0,2014,Não Ficção,$ 28.00
Life,Keith Richards,4.5,2752,18.0,2010,Não Ficção,$ 18.00
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5.0,2014,Ficção,$ 5.00
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16.0,2010,Não Ficção,$ 16.00
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8.0,2015,Não Ficção,$ 8.00
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4.0,2016,Não Ficção,$ 4.00
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23.0,2012,Não Ficção,$ 23.00
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9.0,2017,Não Ficção,$ 9.00
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18.0,2009,Não Ficção,$ 18.00
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20.0,2014,Não Ficção,$ 20.00
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1.0,2009,Não Ficção,$ 1.00
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8.0,2010,Não Ficção,$ 8.00
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15.0,2009,Não Ficção,$ 15.00
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20.0,2010,Não Ficção,$ 20.00
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14.0,2015,Ficção,$ 14.00
Fifty Shades Darker,E L James,4.4,23631,7.0,2012,Ficção,$ 7.00
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18.0,2012,Não Ficção,$ 18.00
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14.0,2016,Não Ficção,$ 14.00
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11.0,2011,Ficção,$ 11.00
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7.0,2012,Ficção,$ 7.00
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2.0,2009,Ficção,$ 2.00
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6.0,2018,Não Ficção,$ 6.00
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6.0,2012,Não Ficção,$ 6.00
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13.0,2019,Não Ficção,$ 13.00
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17.0,2018,Não Ficção,$ 17.00
The Litigators,John Grisham,4.4,6222,18.0,2011,Ficção,$ 18.00
Fear: Trump in the White House,Bob Woodward,4.4,6042,2.0,2018,Não Ficção,$ 2.00
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13.0,2013,Não Ficção,$ 13.00
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21.0,2011,Não Ficção,$ 21.00
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13.0,2011,Não Ficção,$ 13.00
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6.0,2009,Ficção,$ 6.00
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9.0,2009,Não Ficção,$ 9.00
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9.0,2011,Não Ficção,$ 9.00
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6.0,2017,Não Ficção,$ 6.00
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6.0,2015,Não Ficção,$ 6.00
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9.0,2010,Não Ficção,$ 9.00
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9.0,2010,Não Ficção,$ 9.00
The Official SAT Study Guide,The College Board,4.4,1201,40.0,2010,Não Ficção,$ 40.00
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20.0,2010,Não Ficção,$ 20.00
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11.0,2010,Não Ficção,$ 11.00
The Handmaid's Tale,Margaret Atwood,4.3,29442,7.0,2017,Ficção,$ 7.00
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13.0,2017,Ficção,$ 13.00
The Racketeer,John Grisham,4.3,14493,18.0,2012,Ficção,$ 18.00
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10.0,2012,Não Ficção,$ 10.00
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6.0,2018,Não Ficção,$ 6.00
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13.0,2013,Ficção,$ 13.00
The President Is Missing: A Novel,James Patterson,4.3,10191,18.0,2018,Ficção,$ 18.00
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7.0,2017,Não Ficção,$ 7.00
If I Stay,Gayle Forman,4.3,7153,9.0,2014,Ficção,$ 9.00
Under the Dome: A Novel,Stephen King,4.3,6740,20.0,2009,Ficção,$ 20.00
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8.0,2018,Ficção,$ 8.00
Tina Fey: Bossypants,Tina Fey,4.3,5977,12.0,2011,Não Ficção,$ 12.00
Howard Stern Comes Again,Howard Stern,4.3,5272,16.0,2019,Não Ficção,$ 16.00
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21.0,2011,Não Ficção,$ 21.00
The Paris Wife: A Novel,Paula McLain,4.3,3759,16.0,2011,Ficção,$ 16.00
The Confession: A Novel,John Grisham,4.3,3523,13.0,2010,Ficção,$ 13.00
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11.0,2009,Não Ficção,$ 11.00
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22.0,2011,Não Ficção,$ 22.00
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8.0,2010,Ficção,$ 8.00
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14.0,2009,Não Ficção,$ 14.00
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36.0,2016,Não Ficção,$ 36.00
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6.0,2018,Não Ficção,$ 6.00
The Lost Symbol,Dan Brown,4.2,8747,19.0,2009,Ficção,$ 19.00
Olive Kitteridge,Elizabeth Strout,4.2,4519,12.0,2009,Ficção,$ 12.00
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4.0,2011,Ficção,$ 4.00
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14.0,2012,Não Ficção,$ 14.00
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13.0,2011,Não Ficção,$ 13.00
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11.0,2010,Não Ficção,$ 11.00
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14.0,2010,Não Ficção,$ 14.00
The Girl on the Train,Paula Hawkins,4.1,79446,18.0,2015,Ficção,$ 18.00
Inferno,Dan Brown,4.1,29651,14.0,2013,Ficção,$ 14.00
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6.0,2013,Não Ficção,$ 6.00
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15.0,2011,Não Ficção,$ 15.00
Little Bee: A Novel,Chris Cleave,4.1,1467,10.0,2010,Ficção,$ 10.00
Gone Girl,Gillian Flynn,4.0,57271,10.0,2012,Ficção,$ 10.00
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973,12.0,2016,Ficção,$ 12.00
StrengthsFinder 2.0,Gallup,4.0,5069,17.0,2009,Não Ficção,$ 17.00
The Elegance of the Hedgehog,Muriel Barbery,4.0,1859,11.0,2009,Ficção,$ 11.00
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20.0,2013,Ficção,$ 20.00
Allegiant,Veronica Roth,3.9,6310,13.0,2013,Ficção,$ 13.00
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14.0,2012,Ficção,$ 14.00
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19.0,2015,Ficção,$ 19.00
The Casual Vacancy,J.K. Rowling,3.3,9372,12.0,2012,Ficção,$ 12.00
